40.77.167.229 - - [13/Aug/2023:04:38:04 +0300] "GET /page/ HTTP/1.1" 403 207 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
54.36.149.54 - - [13/Aug/2023:04:38:22 +0300] "GET /en/page/wedding-in-georgia.html HTTP/1.1" 200 23791 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
54.36.148.218 - - [13/Aug/2023:05:08:32 +0300] "GET /en/page/to-partners.html HTTP/1.1" 200 25981 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
173.252.83.4 - - [13/Aug/2023:05:13:04 +0300] "GET /images/excoursions/armenia/new_ex_armenia_Ahpat_500x300.png HTTP/1.1" 200 333759 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
54.36.148.30 - - [13/Aug/2023:05:22:50 +0300] "GET /en/page/hotels.html HTTP/1.1" 200 17628 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /page/hotels.html HTTP/1.1" 200 18786 "https://coolgeorgia.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /css/coolgeorgia.css HTTP/1.1" 304 - "https://coolgeorgia.com/page/hotels.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /css/fontello.css HTTP/1.1" 304 - "https://coolgeorgia.com/page/hotels.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /css/carousel/carousel.css HTTP/1.1" 304 - "https://coolgeorgia.com/page/hotels.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /cabinet/css/intlTelInput.css HTTP/1.1" 304 - "https://coolgeorgia.com/page/hotels.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /css/new-css.css HTTP/1.1" 304 - "https://coolgeorgia.com/page/hotels.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
212.58.121.118 - - [13/Aug/2023:05:38:17 +0300] "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" 200 140938 "https://coolgeorgia.com/page/hotels.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
