76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /css/font/fontello1/fontello.woff?96615590 HTTP/1.1" 200 5332 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/borjomi_500x300.jpg HTTP/1.1" 200 100538 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/kaheti_1_500x300.jpg HTTP/1.1" 200 65917 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/dollar-sign-and-piles-of-coins.png HTTP/1.1" 200 39182 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/calendar.png HTTP/1.1" 200 27195 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/mountain-road.png HTTP/1.1" 200 29050 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/2.png HTTP/1.1" 200 35782 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /css/font/fontello2/fontello.woff2?81505323 HTTP/1.1" 200 3880 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/maps/europeans_1_500x300.jpg HTTP/1.1" 200 128034 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/flags/ua.png HTTP/1.1" 200 93 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/ex_gudauri_3_500x300.jpg HTTP/1.1" 200 84971 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/ex_tbilisi_mtskheta_500x300.jpg HTTP/1.1" 200 95828 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/call-mob.png HTTP/1.1" 200 7281 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/heart.png HTTP/1.1" 200 547 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/hareba_500x300.jpg HTTP/1.1" 200 62083 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/mtskheta_1/excursion_mtskheta_2_500x300.jpg HTTP/1.1" 200 114985 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/ex_bakuriani_500x300.jpg HTTP/1.1" 200 96398 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/tbilisi_500x300.jpg HTTP/1.1" 200 140254 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/kazbeg_500x300.jpg HTTP/1.1" 200 77290 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/cards/mtskheta_500x300.jpg HTTP/1.1" 200 79848 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/david_gareja/david_gareja_3_500x300.jpg HTTP/1.1" 200 93019 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/rafting01_1.jpg HTTP/1.1" 200 162497 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:56 +0300] "GET /images/excoursions/armenia/new_ex_armenia_0_500x300.png HTTP/1.1" 200 261000 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:57 +0300] "GET /cabinet/js/utils.js HTTP/1.1" 200 233928 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:57 +0300] "GET /favicon.ico HTTP/1.1" 200 1150 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:08:05 +0300] "GET /en/page/excursion-to-armenia.html HTTP/1.1" 200 31294 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
